Requirements Prototyped,Requirement Text,System Test Component,Feature
MDPS_2_REQ-87,The transformation and analysis system shall provide timeseries calculations on transformation requests,analysis,time_series.feature
MDPS_2_REQ-163,The APGS shall provide a mechanism to validate APGS inputs prior to build,apgs,validate_inputs.feature
MDPS_2_REQ-164,The APGS shall generate application packages upon user request.,apgs,packaging.feature
MDPS_2_REQ-165,The APGS shall provide status of application generation processes,apgs,packaging.feature
MDPS_2_REQ-80,The APGS shall store application package artifacts required for execution,apgs,packaging.feature
MDPS_2_REQ-81,The APGS shall publish application packages to the application catalog,apgs,packaging.feature
MDPS_2_REQ-67,The application catalog shall allow access to application packages from the centralized catalog,application_catalog,application_access.feature
MDPS_2_REQ-70,The application catalog shall provide the capability to publish application packages conforming to the published OGC Best Practice for Earth Observation Application Package,application_catalog,OGC_validations.feature
MDPS_2_REQ-41,The archive system shall provide a common mechanism for delivering data to DAACs,archive_system,daac_interface.feature
MDPS_2_REQ-43,The archive system shall monitor the archive process for success and errors,archive_system,daac_interface.feature
MDPS_2_REQ-44,The archive system shall provide reporting on product archive processes,archive_system,reporting.feature
MDPS_2_REQ-129,The MDPS shall monitor and report on service availability,availability,managed_monitoring.feature
MDPS_2_REQ-131,The MDPS shared system shall have a published Service Level Agreement,availability,multitenant_availability_sla.feature
MDPS_2_REQ-336,MDPS managed services shall be capable of restoring functionality after a catastrophic failure,availability,managed_restoration.feature
MDPS_2_REQ-108,The cost modeling system shall provide cost models to tenant projects to estimate and budget project costs,cost_model,estimate.feature
MDPS_2_REQ-103,The cost reporting system shall track and report system costs by one or more venues,cost_reporting,venue.feature
MDPS_2_REQ-104,The cost reporting system shall track and report system costs based on functional components,cost_reporting,component.feature
MDPS_2_REQ-161,The cost reporting system shall be generating and capable delivering reports at a specified interval,cost_reporting,reporting.feature
MDPS_2_REQ-185,The cost reporting system can alert users when cost thresholds are exceeded,cost_reporting,alert.feature
MDPS_2_REQ-29,The MDPS shall provide a shared data catalog for cataloging and search of MDPS data products based on product metadata. (Data Catalog),data_catalog,managed_service.feature
MDPS_2_REQ-34,The  data catalog shall allow search for data products on spatial and temporal metadata.,data_catalog,dapa.feature
MDPS_2_REQ-36,The  data catalog  shall catalog products with required metadata as specified in <DATA-CATALOG-TBD>,data_catalog,ingest_with_required_metadata.feature
MDPS_2_REQ-30,The data catalog shall allow search on cataloged products through a Data Access and Processing API (DAPA) interface,data_catalog,dapa.feature
MDPS_2_REQ-31,The data catalog shall allow search for data products by parent collections,data_catalog,dapa.feature
MDPS_2_REQ-33,The data catalog shall return search results in STAC (SpatioTemporal Asset Catalogs) format,data_catalog,stac.feature
MDPS_2_REQ-35,The data catalog shall provide the capability to discover collections,data_catalog,dapa.feature
MDPS_2_REQ-59,The IDE shall provide development environments access to MDPS data,ide,data_access.feature
MDPS_2_REQ-63,The IDE shall allow sharing of code and data between IDE users,ide,data_sharing.feature
MDPS_2_REQ-76,IDE customization shall include the inclusion of project defined libraries and resources to IDEs,ide,libraries.feature
MDPS_2_REQ-110,MDPS managed services shall provide a common deployment mechanism,managed_services,template_common_deployment.feature
MDPS_2_REQ-111,MDPS managed services shall provide the means to continuously integrate and deploy MDPS software,managed_services,ci.feature
MDPS_2_REQ-112,"The MDPS shall provide a mechanism for storing, updating, and retrieving sensitive software configuration",managed_services,configuration.feature
MDPS_2_REQ-114,MDPS managed services shall provide a common upgrade mechanism,managed_services,template_common_upgrade.feature
MDPS_2_REQ-115,MDPS managed services shall provide a common rollback mechanism,managed_services,template_common_rollback.feature
MDPS_2_REQ-116,MMDPS managed services shall provide a common destroy mechanism,managed_services,template_common_destroy.feature
MDPS_2_REQ-117,"MDPS managed services shall have a user interface for deployment, monitoring, upgrading, and destruction",managed_services,mgmt_ui.feature
MDPS_2_REQ-118,MDPS managed services will support scheduling changes in project defined maintenance windows,managed_services,mgmt_scheduling.feature
MDPS_2_REQ-158,MDPS managed services shall allow resource customization,managed_services,template_resource_customization.feature
MDPS_2_REQ-159,MDPS managed services shall report health metrics,managed_services,template_managed_health.feature
