Item,,,,Produced by:,Michael Gangl,MDPS,,,
Level 1,,,,on:,12/14/23,JPL,,,
Parent,ID,Level,Name,Rationale,VnV Method,VnV Approach,Tags,VnV Component,VnV Feature
,MDPS_L1_REQ-1,L1,"The MDPS project shall provide a platform to process, store, manage, and provide access to science data products.","The processing of science data into science products is a primary goal of the MDPS. This applies to multiple project types: flight, R&A, outreach, formulation projects for earth, planetary, and solar system; Storing and managing the data enable data product reproducability and discovery.
 
 
   
 
 
  The science products can be standard, reprocessed, or bespoke- there is no requirement on what type of products can be generated.",,,eso-prototype,,
,MDPS_L1_REQ-2,L1,"The MDPS project shall provide a platform to develop, test, and validate product generation algorithms in an operations-like environment.","""Requirement enables faster algorithm development, test, and validation via fewer hand offs and complete self servicing (automated algorithm packaging, ability to run in an ops like SDS without hand offs). This applies to multiple project types: flight, R&A, outreach, formulation projects for earth, planetary, and solar system;
 
 
 
 Development: initial creation and improvements of software algorithms
 
 Test: unit and system integration into an ops like environment
 
 Validate: Analysis of test or production generated data products, visualization of products, comparisons to other known data (e.g. Cal/Val), matchup services""",,,eso-prototype,,
,MDPS_L1_REQ-3,L1,The MDPS project shall provide a platform for use by three or more projects,"The MDPS science data system is a singular platform with multiple instances of project based functionality. That is, many projects can use the MDPS, but many of the managed services will be specific to the project and venue of that project.
 
 
   
 
 
  Formerly a multi-tenant requirement;
 
 
   
 
 
  We also specify 3 (as a minimum ) projects to drive requirements for eventual MMO Staffing, support, and design of the system.",,,eso-prototype,,
,MDPS_L1_REQ-4,L1,The MDPS project shall provide a platform comprised of managed services.,"This will minimize setup time, resources, and workforce needed to spin up and make services available.
 
 
   
 
 
  Managed services are a systematic way of deploying, upgrading, and removing a service.",,,eso-prototype,,
,MDPS_L1_REQ-5,L1,The MDPS shall enable open science through compliance with SPD-41a and ESD-specific open science policies.,"The main tenants of Open Science MDPS seeks to fulfill are:
 
 
 
 Open methodology - sharing of Algorithm Theoretical Basis Documents, provenance, reproducability
 
 Open source - Share code and processing
 
 Open data - Share data and results
 
 Open access - access to data where not strictly prohibited
 
 Open educational resources",,,eso-prototype,,
,,,Level 2 and Level 3 requirements,,,,,,
,TXT-9,,Science Processing,,,,,,
MDPS_L1_REQ-1,MDPS_2_REQ-1,L2,"The MDPS shall provide the capability to execute, manage, and monitor data processing workflows in a science processing platform. (Science Processing Platform)","Execute: Includes Forward Stream, Bulk, on-demand, and data simulations executions - based on CWL workflows, WPS-T deployment and undeployment of workflows. 
 
 Manage: execute, retry, 
 
 Monitor: monitor execution(s)",,,eso-prototype,sps,
